Date,Open,High,Low,Close,Adj Close,Volume
2014-05-20,114.4,114.56,108.77,109.26,84.87,22389590
2014-05-21,109.95,110.73,105.45,106.98,83.1,25711185
2014-05-22,107.4,112.32,107.4,111.57,86.67,23723640
2014-05-23,112.56,113.0,110.36,112.67,87.52,24517250
2014-05-26,114.0,116.74,108.91,110.29,85.67,29270615
2014-05-27,109.18,111.19,106.0,109.46,85.03,27006860
2014-05-28,109.59,113.38,109.3,112.48,87.37,18271905
2014-05-29,111.48,112.52,107.4,109.63,91.68,46033460
2014-05-30,112.43,115.3,111.08,113.88,95.23,45742700
2014-06-02,114.58,115.71,112.06,115.13,96.28,23806670
2014-06-03,115.92,117.4,113.6,116.09,97.08,31139715
2014-06-04,115.62,117.0,115.02,116.27,97.23,16038050
2014-06-05,116.5,117.6,113.84,114.86,96.05,26187635
2014-06-06,115.79,117.09,115.0,115.99,97.0,15963525
2014-06-09,117.0,117.0,113.43,113.91,95.26,35775525
2014-06-10,113.6,114.28,110.42,113.41,94.84,29144680
2014-06-11,113.18,113.9,109.45,110.63,92.52,46967165
2014-06-12,111.4,111.76,107.89,109.0,91.15,20172355
2014-06-13,109.82,110.48,104.82,105.6,88.31,27790985
2014-06-16,104.98,108.0,101.5,107.44,89.85,30836225
2014-06-17,106.33,111.11,106.04,110.71,92.58,26144515
2014-06-18,109.7,111.84,107.6,108.52,90.75,21602520
2014-06-19,108.0,109.68,107.06,107.65,90.02,18026030
2014-06-20,107.41,109.18,107.41,108.54,90.77,13657550
2014-06-23,109.2,110.5,107.6,110.05,92.03,11082020
2014-06-24,110.6,112.08,110.42,111.72,93.43,12414530
2014-06-25,111.4,111.8,108.04,108.41,90.66,14890625
2014-06-26,108.4,109.48,106.75,107.06,89.53,21170285
2014-06-27,106.2,107.54,105.12,106.58,89.13,14927175
2014-06-30,106.4,109.1,106.4,108.21,90.49,17599045
2014-07-01,108.74,111.68,108.44,111.25,93.04,20105690
2014-07-02,112.2,114.1,112.05,113.78,95.15,18809840
2014-07-03,114.4,114.72,111.86,112.58,94.15,13053170
2014-07-04,111.85,112.98,110.01,111.46,93.21,12912355
2014-07-07,111.62,112.17,108.05,108.44,90.69,12804925
2014-07-08,108.21,109.45,104.5,105.19,87.97,22584930
2014-07-09,105.68,106.96,101.94,102.63,85.83,19825825
2014-07-10,102.8,109.25,100.8,105.77,88.45,35045375
2014-07-11,105.77,107.15,101.6,102.09,85.37,18143350
2014-07-14,102.0,105.6,100.44,104.76,87.61,20497480
2014-07-15,105.55,106.69,103.26,106.54,89.1,15878345
2014-07-16,107.51,108.8,105.9,108.43,90.68,12173000
2014-07-17,107.34,110.36,107.29,109.53,91.6,13624155
2014-07-18,109.2,111.38,107.5,110.72,92.59,20923335
2014-07-21,111.6,112.7,110.62,111.64,93.36,10681925
2014-07-22,112.04,112.39,108.2,109.19,91.31,19285245
2014-07-23,109.95,110.9,105.51,107.31,89.74,36305975
2014-07-24,107.7,109.96,106.96,108.98,91.14,20594690
2014-07-25,108.62,110.25,106.69,107.82,90.17,13230920
2014-07-28,108.0,109.2,106.5,107.33,89.76,9100720
2014-07-30,107.4,108.8,106.26,108.38,90.63,14940830
2014-07-31,107.46,109.5,107.46,108.22,90.5,16687645
2014-08-01,107.14,109.6,106.03,107.26,89.7,19918900
2014-08-04,107.8,108.96,107.0,108.49,90.73,11342575
2014-08-05,108.8,109.4,107.4,108.94,91.1,13652470
2014-08-06,108.0,109.04,107.2,107.53,89.92,13717075
2014-08-07,107.0,107.96,106.05,106.44,89.01,14193945
2014-08-08,104.8,105.38,103.21,104.26,87.19,18137860
2014-08-11,105.0,107.09,104.66,106.79,89.31,16341530
2014-08-12,107.3,109.6,106.93,109.09,91.23,12712735
2014-08-13,108.6,109.6,107.82,109.04,91.19,18687725
2014-08-14,108.63,109.23,107.28,108.17,90.46,9303355
2014-08-18,107.45,112.0,107.45,111.88,93.56,16438715
